:: Time stamp = Wed Oct 24 14:45:18 2018 ::


		           time   index    resultfromC[index]  vout[index]
                   9          0	||       128	       128
                   9          1	||       512	       512
                   9          2	||      1152	      1152
                   9          3	||      2048	      2048
                   9          4	||      3200	      3200
                   9          5	||      4608	      4608
                   9          6	||      6272	      6272
                   9          7	||      8192	      8192
                   9          8	||     10368	     10368
                   9          9	||     12800	     12800
                   9         10	||     15488	     15488
                   9         11	||     18432	     18432
                   9         12	||     21632	     21632
                   9         13	||     25088	     25088
                   9         14	||     28800	     28800
                   9         15	||     32768	     32768
                   9         16	||     36992	     36992
                   9         17	||     41472	     41472
                   9         18	||     46208	     46208
                   9         19	||     51200	     51200
                   9         20	||     56448	     56448
                   9         21	||     61952	     61952
                   9         22	||     67712	     67712
                   9         23	||     73728	     73728
                   9         24	||     80000	     80000
                   9         25	||     86528	     86528
                   9         26	||     93312	     93312
                   9         27	||    100352	    100352
                   9         28	||    107648	    107648
                   9         29	||    115200	    115200
                   9         30	||    123008	    123008
                   9         31	||    131072	    131072
